ID,Date,Element,Data_Value
MX000014066,2012-08-22,TMAX,284
MX000014066,2013-03-11,TMIN,73
MX000014066,2014-10-24,TMIN,153
MX000014066,2014-12-12,TMAX,222
MX000014066,2015-01-15,TMIN,63
MX000014066,2015-10-14,TMAX,318
MX000014066,2007-07-03,TMAX,292
MX000014066,2014-05-02,TMIN,160
MX000014066,2009-08-05,TMIN,169
MX000014066,2012-06-20,TMAX,290
MX000014066,2012-11-01,TMIN,106
MX000014066,2015-10-14,TMIN,148
MX000014066,2007-11-14,TMIN,77
MX000014066,2013-11-21,TMAX,268
MX000014066,2015-04-05,TMIN,128
MX000014066,2012-06-13,TMAX,353
MX000014066,2015-11-12,TMIN,129
MX000014066,2014-04-30,TMAX,334
MX000014066,2014-08-05,TMAX,300
MX000014066,2007-09-14,TMIN,161
MX000014066,2010-03-31,TMIN,90
MX000014066,2010-10-06,TMIN,111
MX000014066,2015-04-05,TMAX,330
MX000014066,2012-04-18,TMAX,329
MX000014066,2012-06-20,TMIN,146
MX000014066,2013-12-08,TMIN,77
MX000014066,2008-10-01,TMIN,95
MX000014066,2012-10-01,TMAX,308
MX000014066,2010-03-31,TMAX,298
MX000014066,2008-11-14,TMIN,71
MX000014066,2013-03-06,TMIN,55
MX000014066,2014-05-02,TMAX,321
MX000014066,2008-12-02,TMIN,37
MX000014066,2014-02-15,TMIN,80
MX000014066,2012-10-01,TMIN,169
MX000014066,2007-12-03,TMAX,280
MX000014066,2013-08-07,TMAX,301
MX000014066,2008-09-16,TMAX,236
MX000014066,2012-02-07,TMAX,258
MX000014066,2012-11-01,TMAX,291
MX000014066,2015-01-15,TMAX,268
MX000014066,2013-09-27,TMIN,180
MX000014066,2013-09-27,TMAX,297
MX000014066,2012-06-13,TMIN,175
MX000014066,2012-05-03,TMIN,136
MX000014066,2011-01-19,TMIN,19
MX000014066,2012-08-21,TMAX,288
MX000014066,2012-08-21,TMIN,165
MX000014066,2013-03-06,TMAX,306
MX000014066,2015-05-24,TMIN,171
MX000014066,2007-12-03,TMIN,107
MX000014066,2012-05-03,TMAX,348
MX000014066,2011-09-13,TMIN,160
MX000014066,2010-11-03,TMAX,291
MX000014066,2007-09-04,TMIN,135
MX000014066,2013-08-07,TMIN,172
MX000014066,2015-02-28,TMAX,286
MX000014066,2015-05-25,TMAX,325
MX000014066,2013-02-09,TMAX,303
MX000014066,2006-02-09,TMIN,82
MX000014066,2006-02-09,TMAX,286
MX000014066,2015-05-25,TMIN,142
MX000014066,2009-11-23,TMAX,269
MX000014066,2014-11-05,TMIN,135
